timestamp,open,high,low,close,volume
2022-11-08,89.1600,90.4050,87.6500,88.9100,30172001
2022-11-07,87.3400,88.9400,86.9600,88.6500,26899879
2022-11-04,85.5100,86.7300,83.8800,86.7000,40173284
2022-11-03,86.3450,86.5500,83.4500,83.4900,48510364
2022-11-02,90.9100,91.3000,87.0100,87.0700,43553551
2022-11-01,95.5900,96.1650,90.4300,90.5000,43220599
2022-10-31,95.7800,96.3500,94.3800,94.6600,29868714
2022-10-28,92.5300,96.8600,92.3225,96.5800,35696925
2022-10-27,94.3100,95.1700,91.9000,92.6000,54036485
2022-10-26,96.7600,98.5400,94.5700,94.8200,71671814
2022-10-25,103.3000,105.0999,103.0200,104.9300,29910170
2022-10-24,102.0900,103.1000,100.3000,102.9700,24680831
2022-10-21,98.4600,101.6200,98.2300,101.4800,28988727
2022-10-20,100.8200,103.0000,99.9700,100.5300,25125082
2022-10-19,100.7000,101.6592,99.6350,100.2900,21573686
2022-10-18,103.9400,104.2200,100.6500,101.3900,21610541
2022-10-17,99.5200,101.7700,99.5100,100.7800,23311604
2022-10-14,100.6250,101.2900,97.0300,97.1800,22624832
2022-10-13,95.9300,100.5300,95.2700,99.7100,32812220
2022-10-12,98.2700,99.6476,97.6700,98.3000,17343431
2022-10-11,98.2500,100.1200,97.2500,98.0500,21617727
2022-10-10,99.8500,99.9900,97.8700,98.7100,16529897
2022-10-07,100.6500,101.4200,99.2100,99.5700,24249910
2022-10-06,101.5000,103.7300,101.5000,102.2400,17156240
2022-10-05,100.6900,102.7400,99.7400,102.2200,18475515
2022-10-04,101.0400,102.7200,101.0400,102.4100,22580931
2022-10-03,97.2200,99.9700,97.0200,99.3000,24840028
2022-09-30,97.7300,99.4940,96.0300,96.1500,26277832
2022-09-29,99.3000,99.3000,96.5200,98.0900,21921520
2022-09-28,98.0200,101.4000,97.8000,100.7400,24616999
2022-09-27,99.9100,100.4600,97.3400,98.0900,24224988
2022-09-26,98.6100,100.4400,98.3800,98.8100,22437938
2022-09-23,100.0600,100.1100,98.0100,99.1700,25656959
2022-09-22,99.4500,101.6800,99.4100,100.5700,21145595
2022-09-21,102.2400,103.4900,99.9900,100.0100,26596757
2022-09-20,102.8800,103.1700,101.1200,101.8300,24001668
2022-09-19,102.5400,104.0200,102.3700,103.8500,19738603
2022-09-16,102.9700,104.0300,101.8550,103.6300,64540115
2022-09-15,105.0100,106.2100,103.3100,103.9000,26494933
2022-09-14,105.4400,106.1000,104.5000,105.8700,22115805
2022-09-13,108.8900,109.3700,105.0000,105.3100,33014991
2022-09-12,111.9900,112.6400,110.9300,111.8700,19732905
2022-09-09,110.0500,112.0000,110.0000,111.7800,21745034
2022-09-08,109.1800,110.5800,108.0600,109.4200,21660654
2022-09-07,107.7600,110.9900,107.6150,110.4800,22987178
2022-09-06,108.1350,108.8800,106.5100,107.4800,20529528
2022-09-02,111.3400,111.6750,108.1300,108.6800,20618080
2022-09-01,109.2000,111.2200,108.1900,110.5500,22784385
2022-08-31,111.6300,111.7700,109.0500,109.1500,25897978
2022-08-30,111.0300,111.3700,108.8000,109.9100,20548202
2022-08-29,110.7800,111.9600,109.8100,110.3400,20347494
2022-08-26,115.8100,116.6000,111.2200,111.3000,31698668
2022-08-25,115.1500,117.7800,115.0500,117.7000,14874666
2022-08-24,114.4500,115.7171,113.7800,114.7000,16051174
2022-08-23,114.3200,115.9300,114.3000,114.7700,14390691
2022-08-22,116.1000,116.5000,114.6700,115.0700,19316024
2022-08-19,119.8700,120.0000,117.6700,118.1200,20186983
2022-08-18,120.2300,121.6900,119.5502,120.8600,15652029
2022-08-17,120.9300,122.1500,120.2000,120.3200,17589157
2022-08-16,122.3200,123.2276,121.5350,122.5100,15626171
2022-08-15,122.2100,123.2600,121.5700,122.8800,15524951
2022-08-12,121.1600,122.6500,120.4001,122.6500,16121087
2022-08-11,122.0800,122.3402,119.5500,119.8200,16671627
2022-08-10,119.5900,121.7800,119.3600,120.6500,20497021
2022-08-09,117.9900,118.2000,116.5600,117.5000,15424257
2022-08-08,119.1200,120.8600,117.8300,118.1400,17061112
2022-08-05,116.9300,118.8600,116.7100,118.2200,15615663
2022-08-04,118.3000,119.5000,117.7100,118.8700,15757698
2022-08-03,116.3400,119.4200,116.1500,118.7800,25302816
2022-08-02,114.4300,117.0800,114.2600,115.9000,17911039
2022-08-01,115.5300,117.1200,114.6900,115.4800,22856202
2022-07-29,113.4000,116.9000,113.2300,116.6400,31336183
2022-07-28,112.8000,114.7000,111.8510,114.5900,23303844
2022-07-27,109.6000,114.4000,108.4200,113.6000,41474618
2022-07-26,107.4300,107.7400,104.7600,105.4400,36626630
2022-07-25,108.8800,110.5800,107.0100,108.2100,28289942
2022-07-22,111.8100,113.1800,107.6000,108.3600,44455304
2022-07-21,115.0900,115.2100,111.9100,115.0400,27267848
2022-07-20,114.0600,116.3300,113.2600,114.7000,26780088
2022-07-19,111.7300,114.8100,110.5000,114.6200,30992331
2022-07-18,113.4400,114.8000,109.3000,109.9100,33247345
2022-07-15,2259.2600,2280.0100,2236.4500,2255.3400,1716538
2022-07-14,2216.5200,2239.7500,2186.5100,2228.8000,1618277
2022-07-13,2252.7800,2303.1399,2236.4600,2243.7400,1947943
2022-07-12,2336.7700,2356.9899,2292.3001,2296.9900,1248508
2022-07-11,2373.0000,2375.8900,2324.6900,2330.4500,1341523
2022-07-08,2351.0000,2408.7000,2350.2800,2403.3700,1454110
2022-07-07,2320.1600,2397.2399,2310.6800,2386.1200,1609197
2022-07-06,2281.8400,2327.0400,2245.0100,2304.2700,1442634
2022-07-05,2150.2900,2281.0516,2124.9901,2277.7400,1821469
2022-07-01,2166.7400,2196.1273,2142.1000,2181.6200,1551394
2022-06-30,2209.9900,2226.5960,2146.2000,2187.4500,1902302
2022-06-29,2242.9700,2273.2900,2231.0801,2245.1300,931393
2022-06-28,2327.0200,2357.1300,2248.8800,2251.4300,1415811
2022-06-27,2378.7000,2385.0000,2320.0150,2332.4500,1641965
2022-06-24,2272.0600,2372.7500,2272.0600,2370.7600,1956138
2022-06-23,2259.0000,2263.9300,2220.5800,2253.6900,1235486
2022-06-22,2223.2600,2275.3900,2214.4857,2240.6800,1196086
2022-06-21,2194.0400,2253.4600,2185.8700,2240.3000,1950514
2022-06-17,2130.7000,2184.9900,2112.5706,2157.3100,2175833
